date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:03:28	580/580	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2027%20Dec%202017%2000:06:24%20GMT	https://c0.wp.com/p/jetpack/6.8/_inc/build/photon/photon.min.js	G:/Company/Website/Prodiva/HTML/Prodiva%20HTML/c0.wp.com/p/jetpack/6.8/_inc/build/photon/photon.min.js	(from https://mcoach.in/prodiva-landing-page/)
16:03:29	2837/2837	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225b9761ed-b15%22	https://mcoach.in/wp-content/plugins/contact-form-7-multi-step-module/resources/cf7msm.min.js?ver=3.0.8	G:/Company/Website/Prodiva/HTML/Prodiva%20HTML/mcoach.in/wp-content/plugins/contact-form-7-multi-step-module/resources/cf7msm.min6173.js	(from https://mcoach.in/prodiva-landing-page/)
16:03:30	14710/14710	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225bd80475-3976%22	https://mcoach.in/wp-content/plugins/contact-form-7/includes/js/scripts.js?ver=5.0.5	G:/Company/Website/Prodiva/HTML/Prodiva%20HTML/mcoach.in/wp-content/plugins/contact-form-7/includes/js/scripts1748.js	(from https://mcoach.in/prodiva-landing-page/)
16:03:30	5360/5360	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225b98ac75-14f0%22	https://mcoach.in/wp-content/plugins/cookie-notice/js/front.min.js?ver=1.2.44	G:/Company/Website/Prodiva/HTML/Prodiva%20HTML/mcoach.in/wp-content/plugins/cookie-notice/js/front.minfe9e.js	(from https://mcoach.in/prodiva-landing-page/)
16:03:31	10411/10411	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225841a56f-52b6%22	https://s0.wp.com/wp-content/js/devicepx-jetpack.js?ver=201848	G:/Company/Website/Prodiva/HTML/Prodiva%20HTML/s0.wp.com/wp-content/js/devicepx-jetpackb721.js	(from https://mcoach.in/prodiva-landing-page/)
16:03:33	7994/7994	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2003%20Nov%202016%2005:40:34%20GMT	https://c0.wp.com/c/4.9.8/wp-includes/js/imagesloaded.min.js	G:/Company/Website/Prodiva/HTML/Prodiva%20HTML/c0.wp.com/c/4.9.8/wp-includes/js/imagesloaded.min.js	(from https://mcoach.in/prodiva-landing-page/)
16:03:33	28954/28954	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2028%20Jun%202016%2018:48:31%20GMT	https://c0.wp.com/c/4.9.8/wp-includes/js/masonry.min.js	G:/Company/Website/Prodiva/HTML/Prodiva%20HTML/c0.wp.com/c/4.9.8/wp-includes/js/masonry.min.js	(from https://mcoach.in/prodiva-landing-page/)
16:03:33	1819/1819	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2018%20Aug%202016%2018:55:30%20GMT	https://c0.wp.com/c/4.9.8/wp-includes/js/jquery/jquery.masonry.min.js	G:/Company/Website/Prodiva/HTML/Prodiva%20HTML/c0.wp.com/c/4.9.8/wp-includes/js/jquery/jquery.masonry.min.js	(from https://mcoach.in/prodiva-landing-page/)
16:03:34	23890/23890	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225bb737f6-5d52%22	https://mcoach.in/wp-content/plugins/templatesnext-toolkit/js/owl.carousel.min.js?ver=1.3.2	G:/Company/Website/Prodiva/HTML/Prodiva%20HTML/mcoach.in/wp-content/plugins/templatesnext-toolkit/js/owl.carousel.min9e1e.js	(from https://mcoach.in/prodiva-landing-page/)
16:03:35	11924/11924	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225bb737f6-2e94%22	https://mcoach.in/wp-content/plugins/templatesnext-toolkit/js/jquery.colorbox-min.js?ver=1.5.14	G:/Company/Website/Prodiva/HTML/Prodiva%20HTML/mcoach.in/wp-content/plugins/templatesnext-toolkit/js/jquery.colorbox-minac45.js	(from https://mcoach.in/prodiva-landing-page/)
16:03:35	1438/1438	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225bb737f6-59e%22	https://mcoach.in/wp-content/plugins/templatesnext-toolkit/js/jquery.inview.min.js?ver=1.0.0	G:/Company/Website/Prodiva/HTML/Prodiva%20HTML/mcoach.in/wp-content/plugins/templatesnext-toolkit/js/jquery.inview.min8a54.js	(from https://mcoach.in/prodiva-landing-page/)
16:03:36	9004/9004	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225bb737f6-232c%22	https://mcoach.in/wp-content/plugins/templatesnext-toolkit/js/tx-script.js?ver=2013-07-18	G:/Company/Website/Prodiva/HTML/Prodiva%20HTML/mcoach.in/wp-content/plugins/templatesnext-toolkit/js/tx-script4a02.js	(from https://mcoach.in/prodiva-landing-page/)
16:03:36	1888/1888	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225bc7a837-760%22	https://mcoach.in/wp-content/plugins/wpcf7-redirect/js/wpcf7-redirect-script.js	G:/Company/Website/Prodiva/HTML/Prodiva%20HTML/mcoach.in/wp-content/plugins/wpcf7-redirect/js/wpcf7-redirect-script.js	(from https://mcoach.in/prodiva-landing-page/)
16:03:37	20668/20668	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225b7ecc3a-50bc%22	https://secure.gravatar.com/js/gprofiles.js?ver=2018Novaa	G:/Company/Website/Prodiva/HTML/Prodiva%20HTML/secure.gravatar.com/js/gprofilesb9fb.js	(from https://mcoach.in/prodiva-landing-page/)
16:03:37	1015/1015	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2019%20Nov%202015%2019:47:15%20GMT	https://c0.wp.com/p/jetpack/6.8/modules/wpgroho.js	G:/Company/Website/Prodiva/HTML/Prodiva%20HTML/c0.wp.com/p/jetpack/6.8/modules/wpgroho.js	(from https://mcoach.in/prodiva-landing-page/)
